scheme_name,benefits,level,category,tags,combined
Grant to Meritorious Wards of Ex-Servicemen in Academics Lump Sum Grant,"Grant as per the Merit and the Level of Education 10th Central Board of Secondary Education / Metric / Secondary School Leaving Certificate - 1st Rank 15,000. - 2nd Rank 13,000. - 3rd Rank 11,000. 12th Central Board of Secondary Education / Higher Secondary Certificate - 1st Rank 18,000. - 2nd Rank 16,000. - 3rd Rank 14,000. Undergraduate / Postgraduate -",State/ UT,Education Learning,"College,  Education,  Ex-Serviceman,  Merit,  School,  Student,  Widow","Grant to Meritorious Wards of Ex-Servicemen in Academics Lump Sum Grant Grant as per the Merit and the Level of Education 10th Central Board of Secondary Education / Metric / Secondary School Leaving Certificate - 1st Rank 15,000. - 2nd Rank 13,000. - 3rd Rank 11,000. 12th Central Board of Secondary Education / Higher Secondary Certificate - 1st Rank 18,000. - 2nd Rank 16,000. - 3rd Rank 14,000. Undergraduate / Postgraduate - Education Learning College,  Education,  Ex-Serviceman,  Merit,  School,  Student,  Widow"
Readers Allowance to Visually Impaired Persons,"Reader s allowance is being paid at the following rate - 9th To 10th Standard - 3,000/- per annum .- Degree Courses - 5,000/- per annum . - Post Graduate and Professional Courses - 6,000/- pe",State/ UT,"Education Learning, Social welfare Empowerment","Differently-abled Person,  Financial Assistance,  Readers Allowance,  Student,  Visually Impaired","Readers Allowance to Visually Impaired Persons Reader s allowance is being paid at the following rate - 9th To 10th Standard - 3,000/- per annum .- Degree Courses - 5,000/- per annum . - Post Graduate and Professional Courses - 6,000/- pe Education Learning, Social welfare Empowerment Differently-abled Person,  Financial Assistance,  Readers Allowance,  Student,  Visually Impaired"
Purchase/Construction of House for the Construction Workers,"- 3,00,000/- to the workers who have 10 years left to complete 60 years of age. - 5,00,000/- to the workers who have 15 years left to complete 60 yea",State/ UT,"Housing Shelter, Social welfare Empowerment","Construction,  Financial Assistance,  Labour,  Worker","Purchase/Construction of House for the Construction Workers - 3,00,000/- to the workers who have 10 years left to complete 60 years of age. - 5,00,000/- to the workers who have 15 years left to complete 60 yea Housing Shelter, Social welfare Empowerment Construction,  Financial Assistance,  Labour,  Worker"
Disability Pension for the Construction Workers,"- 3,000/- per month as disability pension to permanently disabled due to paralysis, leprosy, T.B., accident etc. available from the date of registrat",State/ UT,Social welfare Empowerment,"Construction Workers,  Disability,  Financial Assistance,  Labour,  Pension","Disability Pension for the Construction Workers - 3,000/- per month as disability pension to permanently disabled due to paralysis, leprosy, T.B., accident etc. available from the date of registrat Social welfare Empowerment Construction Workers,  Disability,  Financial Assistance,  Labour,  Pension"
Reimbursement of Tuition Fees to the Wards of Ex-Servicemen/Widows Sainik Welfare,"Monthly Stipend in According to the Level of Qualification - School 1,000. - Military/Sainik Schools 2,000. - School for Special Children 2,000. - Diploma in Polytechnic 800. - NDA/IMA National Defence Academy/Indian Military Academy 2,000. - Bachelor Degree 1,000. - Master Degree 1,500. - Professional Course MBBS/BE/BTech Bachelor of Medicine and Bachelor of Surgery / Bachelor of Engineering / Bachelor of Technology 2,000. The rate listed above or the actual cost of the fee, whichever is less, is reimburse",State/ UT,"Education Learning, Skills Employment","Ex-Serviceman,  Reimbursement,  Student,  Tuition Fees,  Widow","Reimbursement of Tuition Fees to the Wards of Ex-Servicemen/Widows Sainik Welfare Monthly Stipend in According to the Level of Qualification - School 1,000. - Military/Sainik Schools 2,000. - School for Special Children 2,000. - Diploma in Polytechnic 800. - NDA/IMA National Defence Academy/Indian Military Academy 2,000. - Bachelor Degree 1,000. - Master Degree 1,500. - Professional Course MBBS/BE/BTech Bachelor of Medicine and Bachelor of Surgery / Bachelor of Engineering / Bachelor of Technology 2,000. The rate listed above or the actual cost of the fee, whichever is less, is reimburse Education Learning, Skills Employment Ex-Serviceman,  Reimbursement,  Student,  Tuition Fees,  Widow"
Ex-gratia Payment for the Construction Workers,"- Ex-gratia payment of 1,00,000/- in case of permanent disability.",State/ UT,Social welfare Empowerment,"Construction Workers,  Ex-gratia Payment,  Financial Assistance,  Labour,  Permanently Disability","Ex-gratia Payment for the Construction Workers - Ex-gratia payment of 1,00,000/- in case of permanent disability. Social welfare Empowerment Construction Workers,  Ex-gratia Payment,  Financial Assistance,  Labour,  Permanently Disability"
Pension Benefit for the Construction Workers,- 3000/- per month after completion of 60 years. - An increase of 300/- shall be given for every completed year of membership beyond f,State/ UT,Social welfare Empowerment,"Construction Workers,  Financial Assistance,  Labour,  Pension,  Senior Citizens","Pension Benefit for the Construction Workers - 3000/- per month after completion of 60 years. - An increase of 300/- shall be given for every completed year of membership beyond f Social welfare Empowerment Construction Workers,  Financial Assistance,  Labour,  Pension,  Senior Citizens"
Accidental Death Assistance for the Construction Workers,"- Financial assistance of 2,00,000/- is provided to the nominees/dependents of the members in case the death is due to an accident, during the course of employment.",State/ UT,Social welfare Empowerment,"Accidental Death,  Construction Workers,  Financial Assistance,  Labour","Accidental Death Assistance for the Construction Workers - Financial assistance of 2,00,000/- is provided to the nominees/dependents of the members in case the death is due to an accident, during the course of employment. Social welfare Empowerment Accidental Death,  Construction Workers,  Financial Assistance,  Labour"
Pradhan Mantri Matru Vandana Yojana,"The cash incentives is provided in two instalments for the first child as per the schedule provided in table below - Scheme Condition for First Child Instalment Conditions Amount in ₹ First Instalment On registration of pregnancy and at least one Antenatal checkup within six months from last menstrual period date at the Anganwadi Centre or approved Health facilities may be identified by the respective administering State/UT. 3,000/- Second Instalment Childbirth is registered. The child has received all due vaccines till the age of 14 weeks as admissible under the Universal Immunization Programme of Ministry of Health and Family Welfare.2,000/- - Scheme Condition for Second Child if it is a girl child Single Instalment On registration of pregnancy and at least one Ante-Natal Check-up ANC within six months from LMP at the Anganwadi Centre AWC approved Health facilities may be identified by the respective administering State/UT. The girl child birth shall be registered under this Scheme. The girl child has received all due vaccines till the girl child attains age of fourteen weeks from the date of birth as admissible under the Universal Immunization Programme of Ministry of Health and Family Welfare.6,000/-In case of miscarriage/still birth, the beneficiary would be treated as fresh beneficiary in event of any future pregnancy.",Central,"Health Wellness, Social welfare Empowerment, Utility Sanitation, Women and Child","Cash Incentive,  Financial Assistance,  Good Nutrition,  Maternity Benefit Programme,  Pregnant Women","Pradhan Mantri Matru Vandana Yojana The cash incentives is provided in two instalments for the first child as per the schedule provided in table below - Scheme Condition for First Child Instalment Conditions Amount in ₹ First Instalment On registration of pregnancy and at least one Antenatal checkup within six months from last menstrual period date at the Anganwadi Centre or approved Health facilities may be identified by the respective administering State/UT. 3,000/- Second Instalment Childbirth is registered. The child has received all due vaccines till the age of 14 weeks as admissible under the Universal Immunization Programme of Ministry of Health and Family Welfare.2,000/- - Scheme Condition for Second Child if it is a girl child Single Instalment On registration of pregnancy and at least one Ante-Natal Check-up ANC within six months from LMP at the Anganwadi Centre AWC approved Health facilities may be identified by the respective administering State/UT. The girl child birth shall be registered under this Scheme. The girl child has received all due vaccines till the girl child attains age of fourteen weeks from the date of birth as admissible under the Universal Immunization Programme of Ministry of Health and Family Welfare.6,000/-In case of miscarriage/still birth, the beneficiary would be treated as fresh beneficiary in event of any future pregnancy. Health Wellness, Social welfare Empowerment, Utility Sanitation, Women and Child Cash Incentive,  Financial Assistance,  Good Nutrition,  Maternity Benefit Programme,  Pregnant Women"
Financial Assistance For Education Of Children Of Registered Worker HBOCWWB,"1 . The class-wise amount given under the scheme is as follows Sl. No. Category Name Amount to be paid 1Elementary Education 1st to 8th grade 8000/- per annum 2Secondary Education 9th to 12th Class /ITI Course 10,000/- per annum 3Higher education first year to final year of bachelor amp amp amp 39 s degree 15,000/- per annum4Postgraduate from first year to final year of Master amp amp amp 39 s degree 20,000/- per annum lt br gt 2. The children of the workers with outstanding performance in the Class 10th examinations would also be encouraged and a one-time incentive would be given according to their obtained marks as under Sl. No.Percentage of Marks Obtained in Class 10th ExaminationOne-time Incentive 190 or More 51,000/- 280 to 89 41,000/- 370 to 79 31,000/- 460 to 69 21,000/- 3. All the educational expenditure on account of study in engineering in private amp amp government institutt, and other professional courses would also be borne by the Board. 4. The hostel expenditure up to a maximum 1,20,000/- would be borne by the B",State,"Social welfare Empowerment, Education Learning","Children,  Construction Workers,  Education,  Financial Assistance,  Scholarship,  Students","Financial Assistance For Education Of Children Of Registered Worker HBOCWWB 1 . The class-wise amount given under the scheme is as follows Sl. No. Category Name Amount to be paid 1Elementary Education 1st to 8th grade 8000/- per annum 2Secondary Education 9th to 12th Class /ITI Course 10,000/- per annum 3Higher education first year to final year of bachelor amp amp amp 39 s degree 15,000/- per annum4Postgraduate from first year to final year of Master amp amp amp 39 s degree 20,000/- per annum lt br gt 2. The children of the workers with outstanding performance in the Class 10th examinations would also be encouraged and a one-time incentive would be given according to their obtained marks as under Sl. No.Percentage of Marks Obtained in Class 10th ExaminationOne-time Incentive 190 or More 51,000/- 280 to 89 41,000/- 370 to 79 31,000/- 460 to 69 21,000/- 3. All the educational expenditure on account of study in engineering in private amp amp government institutt, and other professional courses would also be borne by the Board. 4. The hostel expenditure up to a maximum 1,20,000/- would be borne by the B Social welfare Empowerment, Education Learning Children,  Construction Workers,  Education,  Financial Assistance,  Scholarship,  Students"
